vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
1.35361,0.689634,1.46935,1.36265,0.702348,1.4593,-0.671295,0.717077,1.8121,0.00525129,0.0227135,-0.00045125,0.00904334,0.012714,-0.0100498,-2.03395,0.0147294,0.352796,1656960275
1.3531,0.691671,1.46444,1.3628,0.702369,1.45928,-0.598282,0.720169,1.81105,-0.000965044,0.00473789,-0.0044299,0.00969958,0.0106982,-0.00515974,-1.96108,0.0177995,0.351771,1656960275
1.35285,0.663565,1.48179,1.36287,0.702368,1.45927,-0.516297,0.714334,1.80916,0.0126259,-0.00175767,0.00346828,0.0100183,0.0388037,-0.0225235,-1.87916,0.0119658,0.349889,1656960276
1.33938,0.671928,1.46555,1.36266,0.702363,1.4593,-0.481125,0.710979,1.80661,0.013501,7.17312e-06,8.92946e-05,0.023277,0.0304349,-0.00625098,-1.84378,0.00861549,0.34731,1656960276
1.33489,0.690901,1.44838,1.36265,0.702309,1.45941,-0.468718,0.712126,1.80504,0.00591027,0.00688781,-0.0047915,0.0277597,0.0114077,0.0110348,-1.83136,0.00981671,0.345626,1656960277
1.33217,0.674398,1.47116,1.36283,0.702389,1.45928,-0.464622,0.71338,1.80567,0.00304143,0.0027796,0.00343115,0.0306544,0.0279914,-0.0118774,-1.82745,0.0109904,0.346386,1656960277
1.32688,0.689714,1.45255,1.36248,0.702293,1.45941,-0.464579,0.714944,1.80476,0.00645441,0.0136213,-0.0053578,0.0355943,0.0125787,0.00686228,-1.82705,0.0126514,0.34535,1656960277
1.32551,0.691018,1.4599,1.36269,0.702335,1.45937,-0.466056,0.7169,1.80602,0.00638786,0.0135772,-0.00474039,0.0371819,0.0113168,-0.000536561,-1.82875,0.0145652,0.346653,1656960278
1.32727,0.682648,1.47326,1.36285,0.702363,1.45929,-0.469859,0.723377,1.80773,0.00656412,0.00514232,0.0025783,0.0355767,0.019715,-0.0139717,-1.83271,0.0210143,0.348442,1656960278
1.33724,0.683882,1.46579,1.3627,0.702344,1.4594,-0.473448,0.731567,1.80798,0.00761769,0.00765282,-0.00775681,0.0254666,0.0184621,-0.00639284,-1.83615,0.0292227,0.348578,1656960278
1.33469,0.682679,1.46679,1.36264,0.702306,1.45938,-0.476818,0.738476,1.80591,-0.00220839,0.000898721,0.000726309,0.0279468,0.0196269,-0.00740576,-1.83946,0.0361697,0.346534,1656960278
1.33137,0.681908,1.46608,1.36286,0.70234,1.45928,-0.482434,0.745403,1.80597,-0.00217634,0.0165891,-0.00128017,0.0314914,0.0204314,-0.00680375,-1.84529,0.0430634,0.346695,1656960279
1.32869,0.683286,1.46563,1.3628,0.702339,1.45925,-0.486171,0.750396,1.80586,0.00635952,0.0147527,0.00240661,0.0341123,0.0190533,-0.00637448,-1.84897,0.0480567,0.346609,1656960279
1.32777,0.68504,1.46696,1.36261,0.702299,1.45936,-0.48527,0.753955,1.80589,0.00703784,0.0143602,-0.00308674,0.0348376,0.0172588,-0.00759161,-1.84788,0.0516555,0.346529,1656960279
1.32743,0.684096,1.47079,1.36262,0.702324,1.45939,-0.483131,0.756765,1.80514,-0.00210548,0.00633835,0.00231644,0.0351967,0.018228,-0.0113993,-1.84575,0.0544416,0.345755,1656960279
1.3273,0.685937,1.47154,1.36283,0.702361,1.45926,-0.481604,0.759392,1.8054,-0.00156395,0.00596296,-0.00659611,0.0355324,0.0164241,-0.0122718,-1.84444,0.0570311,0.346139,1656960280
1.32736,0.685747,1.47295,1.36262,0.702277,1.45939,-0.481418,0.760575,1.80429,-0.00404416,0.00963867,-0.010552,0.0352648,0.0165301,-0.0135565,-1.84404,0.0582979,0.344902,1656960280
1.32782,0.68455,1.4739,1.36265,0.702314,1.45941,-0.48104,0.759748,1.80348,0.00253846,0.0119896,-0.0136286,0.0348297,0.017764,-0.0144944,-1.84369,0.0574341,0.344076,1656960280
1.32798,0.682821,1.4724,1.3626,0.702296,1.45935,-0.479496,0.753341,1.80233,0.00295994,0.0134114,-0.00947944,0.0346144,0.0194745,-0.0130503,-1.84209,0.0510456,0.342984,1656960280
1.32847,0.679295,1.4737,1.3628,0.702317,1.45924,-0.477439,0.745348,1.80238,0.00769589,0.0068083,-0.00662596,0.0343312,0.0230213,-0.014454,-1.84024,0.0430313,0.34314,1656960281
1.3285,0.679448,1.47172,1.36262,0.702291,1.45938,-0.476698,0.73914,1.80203,0.00723223,0.0120105,-0.014471,0.0341127,0.0228438,-0.0123366,-1.83931,0.036849,0.342654,1656960281
1.32937,0.678268,1.47375,1.36265,0.702308,1.45939,-0.477248,0.729189,1.80288,0.00953838,0.0114275,-0.0115385,0.0332834,0.0240403,-0.0143635,-1.8399,0.0268804,0.343494,1656960281
1.32959,0.677297,1.47286,1.36266,0.702331,1.4594,-0.477132,0.719431,1.80372,0.0129014,0.010369,-0.00728583,0.0330704,0.0250342,-0.0134518,-1.83979,0.0171001,0.344315,1656960281
1.32944,0.67629,1.47147,1.36283,0.702348,1.45925,-0.476407,0.713229,1.80745,0.0101349,0.0139386,-0.00337403,0.033392,0.0260576,-0.0122213,-1.83924,0.010881,0.348202,1656960282
1.32947,0.674222,1.47123,1.36269,0.70236,1.45934,-0.474828,0.710733,1.81023,-0.000192558,0.00335448,0.0129015,0.0332112,0.0281385,-0.0118887,-1.83751,0.00837332,0.350889,1656960282
1.32898,0.672004,1.46919,1.36262,0.702241,1.45936,-0.475203,0.709459,1.81016,0.0113681,0.0118644,0.00713342,0.0336387,0.0302364,-0.00983095,-1.83782,0.00721812,0.350796,1656960282
1.32908,0.670512,1.46995,1.36286,0.702374,1.45927,-0.475851,0.709495,1.81029,0.00481454,0.00583252,0.0119189,0.0337812,0.031862,-0.0106765,-1.83871,0.00712121,0.351019,1656960283
1.32879,0.670972,1.46946,1.36261,0.702293,1.45934,-0.477538,0.712,1.80853,0.0114765,0.00873091,0.00392787,0.0338236,0.0313211,-0.0101233,-1.84015,0.00970703,0.349185,1656960283
1.32886,0.672272,1.47135,1.36281,0.702369,1.45924,-0.479647,0.715036,1.8098,-0.00134712,0.00332254,0.0108611,0.0339482,0.0300972,-0.0121093,-1.84246,0.012667,0.35056,1656960283
1.32874,0.674081,1.4718,1.36264,0.702309,1.45933,-0.481817,0.719014,1.81147,0.00488136,0.00085428,0.00882973,0.0338988,0.0282282,-0.0124708,-1.84446,0.0167055,0.352139,1656960283
1.32858,0.674954,1.47307,1.36248,0.702273,1.45941,-0.485327,0.72495,1.81293,0.00876519,0.00621321,0.00275976,0.0338951,0.0273189,-0.0136616,-1.8478,0.0226768,0.353525,1656960284
1.32768,0.678151,1.47144,1.36279,0.702311,1.45923,-0.49344,0.741911,1.81582,0.0106112,0.0130921,-0.00335106,0.0351096,0.0241596,-0.0122079,-1.85623,0.0396003,0.356586,1656960284
1.32711,0.680595,1.47085,1.36265,0.702301,1.45935,-0.503502,0.763458,1.81629,-0.000759536,0.0145826,-0.00017915,0.0355343,0.0217063,-0.0115005,-1.86615,0.0611571,0.356942,1656960284
1.32677,0.683109,1.47018,1.36278,0.70234,1.45931,-0.50575,0.773212,1.81543,-0.00481894,0.0186607,-0.0106923,0.0360004,0.0192316,-0.0108685,-1.86853,0.0708717,0.356124,1656960285
1.32656,0.684289,1.46948,1.36267,0.702285,1.45938,-0.504783,0.778185,1.8158,-0.00972252,0.00930753,0.00450904,0.0361086,0.0179952,-0.0101087,-1.86745,0.0759004,0.356425,1656960285
1.32722,0.68421,1.47015,1.36283,0.702384,1.45925,-0.502253,0.779439,1.8136,-0.00123938,0.0109698,0.00165343,0.0356165,0.0181742,-0.0108949,-1.86509,0.0770556,0.354343,1656960285
1.32759,0.683065,1.46997,1.36266,0.702297,1.45933,-0.499617,0.775017,1.81216,-0.00610719,0.00305945,0.00567125,0.0350618,0.0192328,-0.0106392,-1.86227,0.0727201,0.352822,1656960285
1.32785,0.680025,1.46967,1.36292,0.702428,1.45923,-0.498111,0.767054,1.81028,-0.00318859,0.00874046,0.00853563,0.0350636,0.0224026,-0.0104394,-1.86103,0.0646262,0.351043,1656960286
1.32805,0.678481,1.47049,1.36278,0.70235,1.45924,-0.494577,0.747619,1.80738,0.00476262,0.00629959,0.0058425,0.0347363,0.0238696,-0.0112572,-1.85736,0.0452684,0.348146,1656960286
1.32842,0.677318,1.4685,1.36289,0.702405,1.4592,-0.487004,0.719784,1.80556,0.0126339,0.00537523,0.00812514,0.0344689,0.0250869,-0.00929463,-1.84989,0.0173791,0.346363,1656960287
1.32885,0.675693,1.46989,1.36276,0.702387,1.45932,-0.484958,0.713775,1.80499,0.00586813,0.00220918,0.00504817,0.0339042,0.0266937,-0.0105693,-1.84771,0.0113885,0.345666,1656960287
1.32994,0.671793,1.47103,1.36264,0.70226,1.4593,-0.484519,0.710944,1.8047,0.0099593,0.00704801,0.00581192,0.0327038,0.0304677,-0.0117238,-1.84716,0.00868332,0.345398,1656960287
1.3308,0.669109,1.47293,1.36273,0.702374,1.45934,-0.484671,0.710794,1.80507,0.00949902,0.00517245,0.00441292,0.0319291,0.0332653,-0.0135938,-1.8474,0.00842017,0.345728,1656960287
1.33114,0.667416,1.47318,1.36289,0.702433,1.45923,-0.486648,0.714608,1.80299,0.00419498,0.00891588,-0.00480087,0.0317466,0.0350167,-0.013953,-1.84954,0.012175,0.343763,1656960288
1.3304,0.667552,1.47106,1.36276,0.702373,1.45932,-0.490155,0.717298,1.80267,0.0070169,0.0123132,9.70957e-05,0.0323539,0.0348209,-0.0117371,-1.85291,0.0149251,0.34335,1656960288
1.3299,0.668432,1.47167,1.36281,0.702359,1.45932,-0.494796,0.725876,1.80126,0.00309881,0.0167982,-0.0049099,0.0329099,0.033927,-0.0123482,-1.85761,0.0235167,0.341937,1656960288
1.3297,0.672067,1.47129,1.36275,0.702385,1.45919,-0.493068,0.732831,1.80135,-0.00364843,0.0175018,-0.016974,0.0330505,0.0303178,-0.012098,-1.85582,0.0304461,0.342158,1656960289
1.32999,0.675032,1.47229,1.36289,0.70239,1.45917,-0.489066,0.734645,1.80247,0.00120102,0.0150237,-0.0126283,0.0329033,0.0273584,-0.0131173,-1.85196,0.0322554,0.343296,1656960289
1.32935,0.67649,1.46618,1.36278,0.702364,1.45932,-0.479388,0.729122,1.80408,0.0103337,0.0319246,-0.00917413,0.0334313,0.0258734,-0.0068624,-1.84217,0.0267588,0.344767,1656960289
1.33047,0.67894,1.46662,1.36294,0.702409,1.45917,-0.458086,0.722156,1.80464,-0.00522836,0.0416869,-0.0110664,0.0324717,0.0234696,-0.0074507,-1.82103,0.0197472,0.345472,1656960290
1.33409,0.679277,1.46829,1.3628,0.702322,1.45919,-0.419838,0.713483,1.80354,0.00073421,0.0165489,-0.00220531,0.0287098,0.0230443,-0.0090971,-1.78263,0.0111609,0.344348,1656960290
1.33715,0.679405,1.4684,1.36277,0.702364,1.45931,-0.375994,0.704999,1.80358,0.00691693,0.0130414,0.00330013,0.0256214,0.0229598,-0.00909436,-1.73876,0.00263464,0.344269,1656960290
1.34062,0.679523,1.46949,1.36293,0.702419,1.45917,-0.330373,0.701948,1.80362,0.00151612,-0.00466579,0.00801005,0.0223051,0.0228961,-0.0103272,-1.6933,-0.000471294,0.344457,1656960290
1.34363,0.678117,1.47175,1.36287,0.702369,1.45923,-0.287034,0.701762,1.80487,0.00165772,-0.00385789,0.00771919,0.0192357,0.0242527,-0.012517,-1.6499,-0.000606954,0.345639,1656960291
1.34612,0.680234,1.4732,1.36269,0.70227,1.45928,-0.259494,0.703971,1.80608,-0.00862739,-0.000633584,-0.00246206,0.01657,0.0220354,-0.0139188,-1.62219,0.00170147,0.346806,1656960291
1.34791,0.67857,1.47474,1.36258,0.702273,1.45928,-0.2378,0.701147,1.80835,0.00510167,-0.00654358,0.0121796,0.0146768,0.0237029,-0.0154587,-1.60038,-0.00112534,0.349071,1656960291
1.3484,0.67779,1.47542,1.36297,0.702409,1.45921,-0.224141,0.702611,1.80998,0.00636552,0.00107286,-0.00232571,0.0145683,0.0246197,-0.0162178,-1.58711,0.000201404,0.350778,1656960291
1.34791,0.677546,1.47484,1.36276,0.702345,1.45929,-0.215903,0.70424,1.81085,0.00441266,0.00780292,0.00238818,0.0148408,0.0247996,-0.0155534,-1.57866,0.00189477,0.351562,1656960292
1.34798,0.679075,1.47908,1.36279,0.702351,1.45929,-0.210764,0.704879,1.8104,0.00337668,0.00701915,-0.00478779,0.0148189,0.0232765,-0.0197864,-1.57356,0.00252765,0.351108,1656960292
1.34612,0.678616,1.4809,1.36269,0.702287,1.45931,-0.209243,0.70645,1.81105,0.00262472,-0.000508648,-0.00167423,0.0165691,0.0236715,-0.0215889,-1.57194,0.00416237,0.351747,1656960292
1.34156,0.680731,1.47789,1.36293,0.70234,1.45927,-0.209668,0.711125,1.80823,-0.0013218,0.00845997,-0.00795988,0.0213685,0.0216089,-0.0186211,-1.57259,0.00878453,0.348967,1656960293
1.33736,0.683979,1.47709,1.36302,0.702387,1.4592,-0.21231,0.718321,1.8071,0.00131551,0.0156088,-0.0104084,0.0256581,0.0184082,-0.0178845,-1.57533,0.0159333,0.347902,1656960293
1.33319,0.685378,1.4762,1.36276,0.702374,1.45931,-0.213331,0.726473,1.80658,-0.00413696,0.00486979,-0.00337238,0.0295734,0.0169961,-0.0168856,-1.5761,0.0240989,0.347266,1656960293
1.32944,0.685938,1.47549,1.36277,0.702339,1.45927,-0.215643,0.729111,1.8069,-0.00188061,0.010433,-0.00384927,0.0333301,0.0164006,-0.0162197,-1.57841,0.0267719,0.347635,1656960294
1.32658,0.684867,1.4753,1.36282,0.702299,1.45919,-0.218456,0.729484,1.80641,-0.00428465,0.0140743,-0.00523757,0.0362399,0.017432,-0.0161113,-1.58128,0.0271854,0.347215,1656960294
1.32426,0.687699,1.47389,1.36276,0.702323,1.45933,-0.219824,0.728552,1.80626,-0.00315104,0.0114405,-0.0073485,0.0385032,0.0146239,-0.0145653,-1.58259,0.0262286,0.346934,1656960294
1.32258,0.687238,1.47294,1.36278,0.702351,1.45929,-0.222553,0.72631,1.80716,-0.00115741,0.0132133,-0.00469889,0.0401978,0.0151129,-0.0136453,-1.58533,0.0239587,0.347872,1656960294
1.32205,0.687498,1.47376,1.36293,0.702373,1.45917,-0.224806,0.724588,1.80894,0.00251148,0.013064,-0.00313683,0.0408754,0.0148746,-0.0145938,-1.58773,0.0222149,0.349777,1656960295
1.32188,0.687864,1.47409,1.36294,0.702415,1.45918,-0.22592,0.723256,1.81132,-0.00107047,0.0141168,-0.0106059,0.0410578,0.0145513,-0.0149078,-1.58886,0.0208413,0.352136,1656960295
1.32142,0.688663,1.4722,1.36285,0.702352,1.45926,-0.227004,0.722892,1.81273,-0.00268003,0.0139562,-0.00981518,0.0414338,0.0136898,-0.0129385,-1.58986,0.0205399,0.353466,1656960295
1.32129,0.686885,1.47219,1.36277,0.702335,1.45929,-0.228561,0.721875,1.81387,-0.00833687,0.00899963,0.00126465,0.041485,0.0154499,-0.0128992,-1.59133,0.0195395,0.354578,1656960295
1.32168,0.684228,1.47305,1.36276,0.702332,1.45926,-0.229145,0.720461,1.81284,-0.000782992,0.00974959,0.00318595,0.0410874,0.018104,-0.0137889,-1.59191,0.0181289,0.353578,1656960296
1.32192,0.68535,1.4714,1.36303,0.702422,1.45915,-0.227939,0.720635,1.81064,-0.00132368,0.0127949,-0.00649057,0.0411133,0.0170718,-0.0122437,-1.59097,0.0182129,0.351484,1656960296
1.32248,0.686606,1.47083,1.36278,0.702332,1.45925,-0.225593,0.721219,1.80776,0.00718962,0.0102506,-0.00854183,0.040301,0.0157263,-0.0115802,-1.58838,0.0188863,0.348511,1656960296
1.3234,0.687618,1.47149,1.36274,0.702351,1.45925,-0.222756,0.724145,1.80506,-0.0047109,0.00564924,-0.00973097,0.0393368,0.0147327,-0.0122358,-1.58549,0.021794,0.345813,1656960296
1.32368,0.687963,1.4715,1.36282,0.702334,1.45929,-0.221427,0.728857,1.80281,0.00513027,0.00750929,-0.0148859,0.0391412,0.0143716,-0.0122064,-1.58425,0.0265223,0.343518,1656960296
1.32441,0.687809,1.4727,1.36278,0.702343,1.45927,-0.2216,0.732496,1.8023,-0.00998004,0.00551948,-0.00812914,0.038368,0.0145342,-0.0134244,-1.58438,0.0301529,0.343023,1656960297
1.32462,0.687331,1.47358,1.36266,0.702244,1.45925,-0.221204,0.734004,1.80249,-0.015528,0.00156593,-0.00514732,0.0380356,0.0149131,-0.0143294,-1.58386,0.0317601,0.343237,1656960297
1.32454,0.685219,1.47394,1.36277,0.702361,1.45929,-0.22164,0.729454,1.80164,-0.00333274,0.00856236,-0.00711921,0.0382234,0.0171419,-0.0146466,-1.58441,0.0270936,0.342346,1656960297
1.3247,0.68372,1.47362,1.36279,0.702355,1.45927,-0.221524,0.720263,1.80273,-0.000611516,0.0117335,-0.00735484,0.0380862,0.0186352,-0.014345,-1.58431,0.0179081,0.343453,1656960297
1.32516,0.68326,1.47417,1.36274,0.702356,1.45926,-0.221284,0.708605,1.80325,0.00949518,0.00873187,-0.00381413,0.0375777,0.0190953,-0.0149084,-1.58403,0.00624967,0.343985,1656960298
1.32527,0.683177,1.47445,1.36265,0.702269,1.45928,-0.222303,0.700765,1.80262,0.00680125,0.00111569,0.00335341,0.0373787,0.0190918,-0.0151668,-1.58495,-0.00150365,0.343339,1656960298
1.32415,0.681969,1.47391,1.36266,0.702267,1.45931,-0.231279,0.697363,1.80263,0.00598575,0.0094356,0.00580169,0.0385181,0.0202978,-0.0146085,-1.59394,-0.00490397,0.343319,1656960298
1.32261,0.682693,1.47254,1.36279,0.702343,1.45917,-0.243926,0.702208,1.80385,-9.43925e-05,0.022419,-0.00118417,0.0401856,0.0196498,-0.0133626,-1.60672,-0.000135362,0.344675,1656960299
1.32156,0.682845,1.47231,1.36256,0.702316,1.45929,-0.252318,0.708377,1.80594,0.00248837,0.0197116,-0.00171583,0.0409976,0.0194712,-0.0130194,-1.61488,0.00606054,0.346643,1656960299
1.32119,0.681995,1.47341,1.36273,0.702313,1.45924,-0.255407,0.715333,1.80812,-0.00140616,0.0160078,0.00513231,0.0415372,0.0203179,-0.0141648,-1.61814,0.0130202,0.34888,1656960299
1.32119,0.684101,1.47301,1.36268,0.702269,1.45926,-0.254636,0.722703,1.8095,-0.000215484,0.0176731,-0.011013,0.0414826,0.0181674,-0.013749,-1.61731,0.020434,0.350233,1656960299
1.32145,0.686554,1.47246,1.36276,0.702366,1.45925,-0.252235,0.728925,1.80995,-0.000431127,0.0136058,-0.0113757,0.0413063,0.0158117,-0.0132061,-1.61499,0.0265597,0.3507,1656960300
1.32187,0.688584,1.4724,1.36279,0.702339,1.45927,-0.249548,0.735269,1.80984,-0.00138576,0.010783,-0.0106209,0.0409155,0.0137553,-0.0131218,-1.61234,0.0329305,0.350571,1656960300
1.32233,0.689281,1.47367,1.36277,0.702348,1.45932,-0.246791,0.74041,1.80933,-0.00164997,0.00476842,-0.00754119,0.04044,0.0130671,-0.0143479,-1.60956,0.0380622,0.350005,1656960300
